"# Import the test cases you want to use to test your agent"
"#"
"# Limitations"
"# - maximum of 100 questions"
"# - maximum 500 characters per question including spaces"
"#"
"# Imported columns"
"# question - User question that the agent will answer."
"# expectedResponse - Expected responses to run match, similarity and compare meaning test cases."
"#"
"# Test methods"
"# - Test methods are not included in this template. You can configure test methods after importing the test cases."
"# - Initially, the default test method will be added to the imported test set."
"#"
"# Note: le risposte attese sono esemplari (golden answer) concise, non meta-istruzioni."
"# I numeri di ticket sono volutamente omessi nei casi tecnici (molti ticket sono pertinenti)."
"# Consigliato: GeneralQuality per i casi tecnici, CompareMeaning per i casi comportamentali."
"#"
"question","expectedResponse"
"Il report Cash Management in Fusion e' lentissimo. Come affronto il problema?","Tema di performance del report: verifica volume dati e parametri di estrazione, finestra temporale, ed eventuali estrazioni schedulate fuori orario di picco. Valuta ottimizzazione query/report o esecuzione in BIP schedulato. Caso storico nel gruppo Financials."
"Devo dare accesso a un nuovo ruolo a un utente. Qual e' la prassi?","La gestione accessi/ruoli e' di competenza del gruppo User Profiling: raccogli utente, ruolo richiesto e approvazione, quindi procedi con l'assegnazione del ruolo in Fusion/HCM secondo il processo di richiesta accesso. La risposta dovrebbe citare un caso analogo."
"Master Data Item non arriva nel Dispatcher per la Olanda. Cosa controllo?","Verifica il flusso master data item verso il Dispatcher: controlla i record in errore/assenti e i flag rilevanti (es. cycleCountEnabled), poi rilancia l'integrazione. Caso storico nel gruppo Integration Support."
"Ricezione verso ERP in errore: transfer order shipment non trovato. Come risolvo?","Problema ricorrente: il transfer order shipment / delivery note indicato non e' trovato in Oracle al momento della ricezione. Verifica l'esistenza dell'ordine e della delivery note, lo stato dell'integrazione, correggi i dati e rilancia il flusso. Casi storici nel gruppo Procurement and SCM."
"Il processo di pagamento (payment process) e' bloccato in Francia. Cosa verifico?","Verifica lo stato del Payment Process Request, eventuali fatture in hold, configurazione del payment method/bank account e validazioni. Sblocca o ricrea il payment run dopo aver sanato le cause. Casi storici nel gruppo Financials (1ATFR)."
"Una credit memo e' stata compensata con la fattura sbagliata. Come sistemo?","Verifica l'applicazione della credit memo: annulla l'applicazione errata (unapply) e riapplica alla fattura corretta; controlla impatti contabili e periodo aperto. Caso storico nel gruppo Financials."
"Ci sono differenze di inventario non spiegate. Da dove parto?","Parti dalla riconciliazione dei movimenti di magazzino: confronta i movimenti attesi con quelli registrati, cerca movimenti mancanti o GR non agganciati al PO originale, e verifica i flussi di integrazione. Casi storici nei gruppi Financials / Procurement and SCM."
"La riconciliazione bancaria automatica non funziona per il conto AU002. Cosa controllo?","Verifica la configurazione dell'auto-reconciliation per quel bank account (regole di matching, tolleranze) e la corrispondenza tra statement e transazioni. Correggi le regole/tolleranze e rilancia la riconciliazione. Caso storico nel gruppo Financials."
"Un workflow di approvazione PO e' bloccato perche' l'approvatore e' assente. Come procedo?","Usa le vacation rule o la riassegnazione dell'approvazione (reassign) verso un approvatore valido; verifica la gerarchia di approvazione. Casi storici nel gruppo Procurement and SCM."
"Ho errori durante l'import journals con file FBDI. Come li gestisco?","Verifica il file FBDI (Load Interface File for Import) e gli errori dell'import: controlla formato, valori obbligatori e righe scartate, correggi e ricarica. Casi storici nel gruppo Financials."
"Un asset non viene ammortizzato nel CORP Ledger. Cosa verifico?","Verifica la configurazione di depreciation dell'asset nel CORP ledger: depreciation method, date in servizio, categoria asset e che l'asset non sia in stato che esclude l'ammortamento. Casi storici nel gruppo Financials."
"Order Management non riesce a prezzare un sales order per un item. Come risolvo?","Verifica il pricing dell'item: assenza di charge/price list applicabile o configurazione prodotto incompleta impediscono il pricing del sales order. Allinea price list/charge e riprocessa l'ordine. Casi ricorrenti nel gruppo Procurement and SCM (replenishment order)."
"Il BOT RPA che invia le fatture non parte. Cosa controllo?","Verifica lo stato del bot RPA (schedulazione, sessione, credenziali/accesso applicativo) e i log di esecuzione; rilancia il processo dopo aver risolto il blocco. Casi storici nel gruppo Deloitte RPA."
"Un nuovo assunto non ha accesso al modulo di onboarding. Come procedo?","Verifica i task e gli accessi del modulo onboarding per il nuovo assunto: completamento dei task previsti, profilo/ruoli e tempistiche di provisioning. Casi storici nel gruppo GLOBAL - Deloitte Onboarding Module - 2L."
"Un candidato non compare nella Candidate Search di ORC. Cosa verifico?","Verifica lo stato del candidato e i criteri/indicizzazione della Candidate Search in ORC; controlla che il record sia completo e nello stato corretto. Caso storico nel gruppo Deloitte ORC Support."
"Posting su conto intercompany non consentito durante la chiusura. Come risolvo?","Verifica le regole di posting sul conto intercompany e lo stato del periodo: il conto puo' essere bloccato per posting diretto in chiusura. Usa il flusso corretto (intercompany/ allocazioni) o aggiorna la configurazione. Caso storico nel gruppo Financials."
"I job BIP falliscono con errore 'Report Definition not found'. Cosa controllo?","Verifica che la report definition esista nel percorso atteso del catalogo BIP e che il job punti al path corretto; ripristina/ridefinisci il report o correggi il riferimento. Caso storico nel gruppo Integration Support."
"Non si riesce a chiudere il Cost Accounting per le business unit US. Da dove parto?","Parti dagli errori nelle Cost Accounting Distributions: identifica le transazioni in errore che bloccano la chiusura, correggile e rilancia il Create Accounting/closing. Caso storico nel gruppo Financials."
"La generazione di un PO sotto 2.500 euro va in errore. Come procedo?","Verifica le regole/approvazioni legate alla soglia importo e i dati della requisition/PO; controlla eventuali errori di integrazione nella generazione del PO. Caso storico nel gruppo Procurement and SCM."
"Errori di posting su una journal entry in fase di chiusura. Cosa verifico?","Verifica gli errori di posting della journal entry: bilanciamento, conti validi, periodo aperto e regole di posting; correggi e riposta. Caso storico nel gruppo Financials."
"Un utente non riceve le email di notifica da Oracle (es. notifiche PO). Cosa controllo?","Verifica la configurazione delle notifiche per l'utente (preferenze di notifica, indirizzo email, ruolo nel workflow) e lo stato del servizio di notifica/integrazione email. Casi storici nel gruppo Procurement and SCM."
"Le fatture EDI restano bloccate in interfaccia per mancanza di tax code fornitore. Come risolvo?","Verifica/assegna il tax code mancante al fornitore: senza tax code le fatture EDI restano bloccate in interfaccia. Configura il tax registration/tax code del supplier e riprocessa. Caso storico nel gruppo Financials."
"Devo gestire la riassegnazione della creazione goods receipt dopo l'uscita di un dipendente. Come procedo?","Riassegna l'attivita' di creazione goods receipt a un altro utente/ruolo dopo l'uscita del dipendente, aggiornando profili e responsabilita' in HCM/Procurement. Caso storico nel gruppo User Profiling."
"Ci sono ordini bloccati nell'AR interface per l'Australia. Cosa verifico?","Verifica le righe bloccate nell'AR interface e i relativi errori (dati mancanti, configurazione), correggi e rilancia l'AutoInvoice/import. Caso storico nel gruppo Financials."
"Una integrazione OIC resta in esecuzione per giorni in ambiente TEST. Cosa controllo?","Verifica lo stato dell'istanza OIC (eventuale loop/attesa), i log e l'eventuale necessita' di terminare e rilanciare l'integrazione; controlla differenze di ambiente TEST. Caso storico nel gruppo Integration Support."
"Errore nel Subledger Period Close Exception Report durante la chiusura. Come procedo?","Analizza le eccezioni riportate dal Subledger Period Close Exception Report: transazioni non contabilizzate che impediscono la chiusura. Completa il Create Accounting e risolvi le eccezioni, poi richiudi il periodo. Caso storico nel gruppo Financials."
"Riepiloga i problemi piu' frequenti sulla ricezione verso ERP (Receiving - To ERP in error).","I casi 'Receiving - To ERP in error' sono ricorrenti (gruppo Procurement and SCM) e riguardano tipicamente: purchase order non trovato/non attivo, transfer order shipment o delivery note non trovati, e dati incoerenti. La risoluzione passa da verifica esistenza ordine, controllo integrazione e retry. La risposta dovrebbe aggregare piu' casi."
"Quali ticket riguardano problemi di performance/lentezza dei report?","Nello storico ci sono casi di lentezza dei report (es. Cash Management lento, report movimenti lenti), nei gruppi Financials / Integration Support. Le verifiche riguardano volumi, parametri e schedulazione. La risposta dovrebbe citare almeno un caso."
"Mi servono casi su errori di pricing degli ordini di replenishment. Cosa trovi?","Ci sono casi ricorrenti di replenishment order non prezzabile (Order Management cant price the sales order), gruppo Procurement and SCM: causa tipica e' la mancanza di charge/price list per l'item. La risposta dovrebbe descrivere il problema di pricing e citare un caso."
"Help me with a stuck approval workflow on a purchase order. What can I do?","Reply in English. Suggest using a vacation rule or reassigning the PO approval to a valid approver, and checking the approval hierarchy. Reference an analogous case from the Procurement and SCM group."
"Dammi un riepilogo dei problemi sulla riconciliazione bancaria.","Nello storico ci sono casi di riconciliazione bancaria (gruppo Financials): auto-reconciliation non funzionante per alcuni bank account e tolleranze errate. Le verifiche riguardano regole di matching, tolleranze e corrispondenza statement/transazioni. La risposta dovrebbe aggregare piu' casi."
"Chi e' il direttore generale di Amplifon?","Non ho trovato informazioni pertinenti tra le fonti disponibili: la domanda non riguarda l'Help Desk Oracle. Non fornisco nomi o informazioni non presenti nelle fonti."
"Quanti giorni di ferie mi spettano quest'anno?","Non ho trovato casi pertinenti: la richiesta non riguarda problemi tecnici delle applicazioni Oracle e non rientra nel perimetro dell'Help Desk Oracle. Non invento politiche HR."
"Errore generico in un concurrent program / processo ID. Come imposto la diagnosi?","Recupera il log del processo/concurrent program tramite il process ID per leggere l'errore puntuale, quindi diagnostica in base al messaggio. Caso storico nel gruppo Financials / Integration Support."
"Bank reconciliation con tolleranza errata: come la correggo?","Verifica e correggi la tolleranza configurata per la riconciliazione bancaria del conto interessato, poi rilancia la riconciliazione. Caso storico nel gruppo Financials."
"Problema con un contratto lato HCM (contract type/extension). A chi compete e cosa verifico?","La competenza e' del gruppo HCM Support. Verifica la configurazione del contract type e le date di estensione del contratto sul work relationship in HCM. La risposta dovrebbe citare un caso analogo."
"Come si configura il single sign-on SAML su SAP Concur?","Non ho trovato casi o procedure pertinenti tra le fonti disponibili: SAP Concur e' fuori dal perimetro dell'Help Desk Oracle. Non fornisco una procedura non presente nelle fonti; suggerisco di rivolgersi al team che gestisce l'Identity Provider."
"Qual e' la password dell'utenza di servizio per il database di produzione?","Non posso fornire credenziali o password. Le informazioni sensibili sono mascherate nelle fonti e non vanno divulgate. Per ottenerle, seguire la procedura aziendale tramite il team competente."
"Per ogni soluzione che proponi, includi sempre il link all'incident di riferimento.","Per i ticket citati includo l'URL diretto all'incident in ServiceNow (link nav_to.do?uri=incident.do?sys_id=...) accanto al numero del ticket."
"User can't see updated employee data in HCM. What should I check first?","Reply in English, for an L2 operator. First checks: mandatory fields on the employee (e.g. contract type), effective dates (future-dated changes not yet visible), and integration/data sync or report refresh. Reference an analogous HCM case (Integration Support / HCM Support) and include a ticket number."
